"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 05 08:03:48 GMT 2024","Sun May 05 08:03:52 GMT 2024","4229","Tests.test_lesson_1","test_login","TestLogin","","","test",""
"passed","Sun May 05 08:03:18 GMT 2024","Sun May 05 08:03:19 GMT 2024","200","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator0-remove_cart_locator0]",""
"passed","Sun May 05 08:03:53 GMT 2024","Sun May 05 08:03:55 GMT 2024","1544","Tests.test_lesson_1","test_product","TestProduct","","","test_add_to_cart_product_page",""
"passed","Sun May 05 08:03:30 GMT 2024","Sun May 05 08:03:30 GMT 2024","159","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name0]",""
"passed","Sun May 05 08:03:13 GMT 2024","Sun May 05 08:03:13 GMT 2024","195","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator0-remove_cart_locator0]",""
"passed","Sun May 05 08:03:16 GMT 2024","Sun May 05 08:03:16 GMT 2024","159","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator3-remove_cart_locator3]",""
"passed","Sun May 05 08:03:40 GMT 2024","Sun May 05 08:03:40 GMT 2024","179","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_low_to_high_v1",""
"passed","Sun May 05 08:03:31 GMT 2024","Sun May 05 08:03:31 GMT 2024","158","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name1]",""
"passed","Sun May 05 08:03:25 GMT 2024","Sun May 05 08:03:25 GMT 2024","186","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product[add_to_cart_locator1-2]",""
"passed","Sun May 05 08:03:32 GMT 2024","Sun May 05 08:03:33 GMT 2024","190","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product_2[item_name3]",""
"passed","Sun May 05 08:03:36 GMT 2024","Sun May 05 08:03:37 GMT 2024","832","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_logout",""
"passed","Sun May 05 08:03:19 GMT 2024","Sun May 05 08:03:20 GMT 2024","205","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator1-remove_cart_locator1]",""
"passed","Sun May 05 08:03:40 GMT 2024","Sun May 05 08:03:41 GMT 2024","179","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_low_to_high_v2",""
"passed","Sun May 05 08:03:46 GMT 2024","Sun May 05 08:03:46 GMT 2024","179","Tests.test_lesson_1","test_filtration","TestFiltration","","","test_filtration_by_name[value1]",""
"passed","Sun May 05 08:03:47 GMT 2024","Sun May 05 08:03:47 GMT 2024","408","Tests.test_lesson_1","test_login","TestLogin","","","test_login_success",""
"passed","Sun May 05 08:03:17 GMT 2024","Sun May 05 08:03:17 GMT 2024","159","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator4-remove_cart_locator4]",""
"passed","Sun May 05 08:04:04 GMT 2024","Sun May 05 08:04:10 GMT 2024","5173","Tests.test_lesson_3","test_click_page","TestButton","","","test_right_click",""
"passed","Sun May 05 08:03:22 GMT 2024","Sun May 05 08:03:23 GMT 2024","205","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_item_go_catalogue[add_cart_locator4-remove_cart_locator4]",""
"passed","Sun May 05 08:03:18 GMT 2024","Sun May 05 08:03:18 GMT 2024","159","Tests.test_lesson_1","test_cart","TestCart","","","test_remove_from_cart[add_cart_locator5-remove_cart_locator5]",""
"passed","Sun May 05 08:03:26 GMT 2024","Sun May 05 08:03:26 GMT 2024","190","Tests.test_lesson_1","test_catalogue","TestAddToCart","","","test_add_to_cart_and_verify_product[add_to_cart_locator2-3]",""
